option_type,S,K,r,q,sigma,T,t,value
EP,63.0,44.0,0.049,0.065,0.316,2.0,1.34,0.521266362723467
EP,66.0,53.0,0.032,0.152,0.374,4.0,3.3,3.7844650949168255
EP,104.0,111.0,0.047,0.117,0.396,5.0,1.0,39.72800290354895
EC,51.0,64.0,0.087,0.077,0.244,4.0,1.45,3.443053998115113
EC,57.0,55.0,0.064,0.06,0.258,5.0,1.66,9.648305557301832
EC,68.0,48.0,0.018,0.151,0.236,2.0,1.51,15.731467461783012
EP,123.0,132.0,0.034,0.034,0.235,1.0,0.9,9.832656877785979
EC,142.0,135.0,0.038,0.023,0.333,1.0,0.9,10.084456771933603
EP,144.0,127.0,0.032,0.167,0.305,4.0,3.34,10.31022445296724
EP,138.0,128.0,0.05,0.166,0.108,4.0,3.93,0.011963991508693539
EC,89.0,74.0,0.067,0.076,0.177,4.0,3.08,14.409505105317074
EP,114.0,129.0,0.085,0.037,0.292,1.0,0.41,16.95834980518653
BP,127.0,121.0,0.035,0.103,0.242,4.0,0.48,0.509894407371967
EP,82.0,84.0,0.035,0.033,0.364,4.0,2.71,13.881034236811864
EC,110.0,129.0,0.081,0.141,0.303,1.0,0.02,4.343645270301074
EP,116.0,107.0,0.028,0.078,0.31,3.0,1.34,16.26393543739139
EC,102.0,111.0,0.081,0.175,0.21,2.0,0.87,2.233325353337033
EC,66.0,51.0,0.075,0.139,0.382,4.0,1.55,12.905636992387016
EC,104.0,85.0,0.059,0.143,0.203,1.0,0.8,17.12904654013238
EC,147.0,153.0,0.05,0.103,0.185,1.0,0.91,0.9816478477594295
EC,102.0,106.0,0.08,0.139,0.292,2.0,1.43,5.510267447561787
BP,120.0,100.0,0.067,0.127,0.302,2.0,1.2,0.24982932590385382
EP,100.0,117.0,0.075,0.06,0.264,3.0,1.74,19.835375703943036
BC,132.0,122.0,0.041,0.085,0.388,3.0,2.8,0.6823373695445122
EC,92.0,86.0,0.044,0.125,0.147,4.0,0.49,2.2253447369375845
EP,72.0,90.0,0.013,0.13,0.154,5.0,0.06,46.582396798780444
BC,105.0,112.0,0.026,0.079,0.193,5.0,4.81,0.19813143366931357
EP,63.0,50.0,0.053,0.147,0.32,3.0,2.09,3.1883785487200846
EC,84.0,85.0,0.078,0.014,0.33,3.0,2.34,10.044071663996867
BC,131.0,130.0,0.059,0.041,0.363,4.0,3.84,0.5524870225822449
EP,61.0,64.0,0.011,0.062,0.1,5.0,4.78,3.8148593958734622
EP,71.0,81.0,0.068,0.117,0.106,5.0,4.33,11.81441281960334
EC,140.0,124.0,0.065,0.132,0.161,1.0,0.07,11.523361139792485
EC,64.0,74.0,0.075,0.089,0.25,2.0,0.92,2.6724143387928976
EC,97.0,104.0,0.056,0.016,0.252,1.0,0.27,6.555980609748097
EP,62.0,66.0,0.091,0.106,0.197,5.0,2.27,9.172812728287266
EP,80.0,96.0,0.072,0.03,0.222,3.0,0.79,14.148710672456751
BC,114.0,117.0,0.012,0.0,0.177,2.0,0.7,0.5116920635707238
EC,64.0,75.0,0.076,0.133,0.183,3.0,0.55,1.174754759645527
EP,72.0,74.0,0.083,0.065,0.396,1.0,0.5,8.49648906045828
EP,130.0,126.0,0.039,0.127,0.285,2.0,1.29,13.514357711325985
EC,63.0,60.0,0.08,0.198,0.267,1.0,0.36,4.069985488560615
EC,54.0,60.0,0.058,0.156,0.148,3.0,2.86,0.017452846122315457
BP,142.0,127.0,0.1,0.13,0.102,3.0,2.32,0.1213715295372407
BP,149.0,140.0,0.033,0.185,0.347,1.0,0.83,0.3699793875777048
EC,122.0,141.0,0.063,0.082,0.344,1.0,0.74,2.462206664677147
EC,127.0,117.0,0.04,0.178,0.17,5.0,0.91,0.967002668776594
BC,54.0,68.0,0.078,0.178,0.236,5.0,1.71,0.10613276333464092
EP,92.0,94.0,0.043,0.154,0.105,3.0,2.44,7.8733166307192874
EP,79.0,99.0,0.082,0.15,0.367,4.0,0.94,32.86787763262406
EC,74.0,93.0,0.077,0.083,0.218,2.0,0.64,1.7851809298264492
EC,106.0,99.0,0.033,0.14,0.147,5.0,4.99,6.884369164048678
BC,145.0,136.0,0.019,0.031,0.153,3.0,1.44,0.6119876694206614
EP,91.0,105.0,0.076,0.098,0.136,5.0,3.42,16.293148536827772
EC,86.0,90.0,0.065,0.005,0.381,5.0,0.26,34.003599312959444
EC,84.0,90.0,0.075,0.193,0.224,1.0,0.05,1.900188581175998
EC,53.0,34.0,0.054,0.162,0.384,3.0,1.35,12.676508538384674
EP,121.0,131.0,0.062,0.161,0.326,5.0,3.22,34.09084191897888
EC,58.0,52.0,0.019,0.158,0.236,2.0,0.03,3.0154822059652613
EP,106.0,95.0,0.054,0.191,0.176,3.0,0.87,16.88641698934658
EP,78.0,60.0,0.042,0.102,0.218,5.0,1.75,6.736702022170547
EP,89.0,77.0,0.055,0.029,0.38,2.0,1.91,0.43582985317365086
EP,59.0,75.0,0.057,0.028,0.24,2.0,0.87,15.053242408825241
EC,95.0,83.0,0.089,0.183,0.113,1.0,0.12,5.789380439949923
EP,64.0,63.0,0.069,0.199,0.21,1.0,0.34,6.317552274249991
EP,101.0,121.0,0.029,0.084,0.18,4.0,2.27,29.16327121146351
EP,98.0,87.0,0.049,0.041,0.227,2.0,1.46,2.0033468562439154
EP,109.0,109.0,0.043,0.16,0.235,2.0,1.68,7.788194977658868
BP,140.0,141.0,0.082,0.099,0.129,5.0,1.98,0.43645223596757204
EP,72.0,57.0,0.069,0.033,0.381,1.0,0.89,0.09354957142306297
EC,91.0,90.0,0.04,0.152,0.1,3.0,1.08,0.3249987167142425
EC,121.0,111.0,0.053,0.048,0.314,3.0,0.31,26.006026634327156
EC,98.0,83.0,0.045,0.097,0.142,2.0,1.88,14.313560367207629
EC,130.0,117.0,0.085,0.122,0.128,1.0,0.42,10.967826615148738
EC,145.0,144.0,0.086,0.081,0.152,4.0,1.19,12.822945240055766
EP,130.0,121.0,0.068,0.081,0.368,2.0,0.17,18.991284589106712
EP,60.0,53.0,0.067,0.163,0.33,4.0,0.52,13.674295477453388
EP,61.0,62.0,0.056,0.159,0.399,4.0,0.76,21.35928327841472
EC,72.0,83.0,0.03,0.046,0.138,4.0,2.26,1.2393126036092816
EC,78.0,65.0,0.039,0.04,0.285,3.0,1.02,17.480187657086574
EP,125.0,145.0,0.087,0.18,0.396,3.0,0.68,45.91531022305538
EC,137.0,156.0,0.093,0.054,0.25,1.0,0.69,2.1992097909525405
EC,56.0,65.0,0.058,0.106,0.284,5.0,1.31,4.035185113153501
EC,103.0,103.0,0.065,0.068,0.4,4.0,3.42,11.911564966415838
EP,53.0,63.0,0.083,0.0,0.269,1.0,0.15,8.825814905583606
EP,64.0,47.0,0.039,0.062,0.158,1.0,0.32,0.02922485272608133
EP,143.0,134.0,0.091,0.072,0.215,5.0,1.9,10.35390586986238
BP,103.0,96.0,0.045,0.008,0.321,5.0,4.96,0.1245538960007154
EC,51.0,57.0,0.024,0.04,0.274,2.0,0.14,4.487897126700581
EP,90.0,87.0,0.089,0.155,0.236,5.0,2.93,13.227847247617795
EC,84.0,97.0,0.088,0.089,0.26,4.0,1.32,7.503963594010699
BC,146.0,143.0,0.094,0.003,0.352,4.0,0.99,0.5912564741524986
EC,144.0,132.0,0.093,0.036,0.157,2.0,0.75,22.380602987155214
BC,59.0,56.0,0.055,0.101,0.276,2.0,0.68,0.5136835490397396
EC,81.0,88.0,0.097,0.023,0.382,5.0,4.81,3.13403416842538
EP,61.0,47.0,0.089,0.118,0.144,2.0,0.71,0.3023718606334018
EC,62.0,66.0,0.054,0.067,0.367,2.0,0.79,7.3667812972867175
EP,122.0,130.0,0.064,0.019,0.226,1.0,0.25,11.444107236753922
EC,141.0,129.0,0.026,0.138,0.183,3.0,2.49,8.996599411515263
BP,93.0,107.0,0.019,0.018,0.103,2.0,1.31,0.9315802837765098
EP,92.0,99.0,0.063,0.066,0.245,4.0,2.81,13.186120225899401
EC,141.0,124.0,0.041,0.034,0.127,3.0,0.17,21.304314260578153
EC,129.0,149.0,0.024,0.028,0.267,5.0,3.31,9.997532802358883
EP,138.0,122.0,0.081,0.164,0.182,3.0,2.91,0.04284396516340916
EP,108.0,95.0,0.022,0.164,0.199,5.0,4.22,5.805416199808029
EP,50.0,68.0,0.039,0.031,0.342,3.0,0.45,20.791251460727036
BC,70.0,55.0,0.048,0.151,0.359,5.0,1.79,0.4906683311465287
EC,103.0,104.0,0.022,0.187,0.208,5.0,4.16,2.2530313795858774
EC,81.0,68.0,0.028,0.198,0.315,2.0,1.94,12.190912216794217
EP,92.0,88.0,0.042,0.051,0.373,1.0,0.69,5.635450739310414
EC,78.0,88.0,0.011,0.164,0.319,3.0,2.36,2.162778490433494
BP,94.0,92.0,0.082,0.035,0.315,2.0,0.38,0.28765041476771575
BC,95.0,99.0,0.024,0.162,0.313,5.0,0.86,0.2353872825387097
EP,53.0,37.0,0.084,0.185,0.224,1.0,0.32,0.18395179179067123
EC,58.0,51.0,0.039,0.091,0.267,5.0,1.03,7.2767593798807955
EP,70.0,88.0,0.063,0.01,0.388,3.0,2.36,18.778712423233173
EC,59.0,40.0,0.068,0.119,0.151,2.0,0.96,14.898087384590177
EP,122.0,107.0,0.024,0.169,0.342,1.0,0.12,13.187836517524055
EP,133.0,132.0,0.09,0.158,0.274,1.0,0.43,12.213655243551898
EC,92.0,89.0,0.084,0.069,0.13,5.0,4.25,6.02773931915317
EC,51.0,69.0,0.092,0.08,0.23,4.0,1.72,2.047583751288091
EC,50.0,41.0,0.072,0.091,0.12,1.0,0.33,8.021096680884149
EP,66.0,71.0,0.045,0.035,0.166,5.0,4.46,6.0132288559282046
EP,100.0,105.0,0.083,0.034,0.214,3.0,1.11,8.839464240415154
EP,115.0,117.0,0.064,0.136,0.225,5.0,0.13,31.001793311964278
EC,75.0,76.0,0.051,0.037,0.159,1.0,0.8,1.754525387309613
EC,91.0,92.0,0.076,0.159,0.154,4.0,2.9,2.0718395887335177
BC,64.0,80.0,0.098,0.171,0.249,4.0,0.86,0.15475723244336623
EC,99.0,87.0,0.06,0.089,0.287,3.0,0.24,16.173602281702223
EP,117.0,111.0,0.029,0.08,0.167,1.0,0.46,4.138273524531705
EC,71.0,70.0,0.013,0.023,0.286,5.0,1.9,12.700693102190964
EC,103.0,99.0,0.011,0.158,0.141,5.0,3.92,1.5837549557830606
EC,128.0,125.0,0.08,0.172,0.332,2.0,0.82,11.413344000614607
EC,135.0,121.0,0.072,0.054,0.211,3.0,2.83,14.74568753724256
EC,63.0,65.0,0.036,0.183,0.17,2.0,1.62,0.730957080980339
EC,118.0,114.0,0.07,0.194,0.204,4.0,3.89,4.4217842267550935
EP,55.0,69.0,0.049,0.022,0.341,2.0,0.98,15.401994981931473
EP,63.0,75.0,0.098,0.135,0.206,2.0,0.4,14.849579091438464
EC,144.0,142.0,0.026,0.18,0.174,5.0,2.1,1.0005401744808067
EC,111.0,103.0,0.042,0.054,0.198,1.0,0.21,11.075513197500015
EC,130.0,132.0,0.056,0.013,0.33,4.0,0.93,34.263559833080514
EC,128.0,127.0,0.054,0.057,0.223,1.0,0.54,7.900532469626526
EC,147.0,134.0,0.088,0.046,0.288,4.0,0.23,40.23093939783159
BC,87.0,101.0,0.092,0.113,0.221,4.0,1.9,0.2709600382109426
EC,149.0,144.0,0.025,0.13,0.385,5.0,1.97,16.794754885267203
EC,112.0,124.0,0.032,0.155,0.379,5.0,0.6,7.014146775782214
BP,73.0,54.0,0.04,0.021,0.194,2.0,1.8,0.00018253884805788286
EP,121.0,107.0,0.076,0.096,0.285,4.0,2.85,8.039023307581708
EP,61.0,54.0,0.014,0.185,0.178,3.0,2.34,2.8612881780593256
EP,93.0,89.0,0.075,0.149,0.371,4.0,0.8,23.412955223851714
EC,62.0,70.0,0.094,0.056,0.329,3.0,1.67,7.019175621956869
EC,91.0,111.0,0.032,0.071,0.209,3.0,0.27,3.0921503045299694
EP,75.0,56.0,0.045,0.126,0.262,4.0,0.82,8.29343346304227
EC,65.0,65.0,0.012,0.029,0.351,1.0,0.34,6.916331988998106
EP,75.0,78.0,0.032,0.113,0.329,4.0,2.73,15.981407986273275
EP,130.0,128.0,0.012,0.092,0.29,4.0,3.14,16.74380037539524
EP,107.0,87.0,0.024,0.001,0.272,1.0,0.91,0.013010191957766759
EP,135.0,129.0,0.088,0.099,0.194,3.0,0.79,11.204643952538333
EP,133.0,144.0,0.099,0.123,0.348,1.0,0.76,16.024032384867894
EP,79.0,65.0,0.023,0.008,0.268,5.0,0.81,7.489687916868888
EP,105.0,114.0,0.069,0.079,0.321,5.0,1.87,24.738651084438885
BP,140.0,153.0,0.029,0.122,0.266,4.0,1.62,0.6617497737406838
EP,108.0,124.0,0.061,0.185,0.179,3.0,0.79,37.215141860846146
EP,123.0,119.0,0.097,0.103,0.236,1.0,0.08,8.498514821955105
EP,91.0,75.0,0.074,0.173,0.323,1.0,0.16,5.2667934260312705
BP,92.0,109.0,0.019,0.039,0.302,1.0,0.06,0.6781510443056832
EC,89.0,98.0,0.02,0.133,0.106,2.0,1.45,0.05721880048103278
BC,88.0,84.0,0.028,0.149,0.281,4.0,2.77,0.41692534834642275
EC,123.0,141.0,0.095,0.155,0.132,1.0,0.85,0.004281727108457867
EP,94.0,91.0,0.066,0.137,0.325,2.0,0.58,15.229202314064999
EP,108.0,117.0,0.033,0.019,0.379,2.0,0.89,21.03629739479795
EP,96.0,97.0,0.042,0.077,0.202,3.0,0.35,15.549933465496729
EC,114.0,113.0,0.039,0.054,0.286,3.0,2.77,6.445371735208155
EP,52.0,60.0,0.085,0.035,0.37,3.0,0.92,11.365842558366953
EP,107.0,97.0,0.032,0.193,0.134,1.0,0.62,1.7295671287764343
EP,132.0,150.0,0.085,0.065,0.303,4.0,0.13,27.413994415546142
EC,72.0,81.0,0.019,0.154,0.22,1.0,0.74,0.3327808268236172
EC,51.0,47.0,0.048,0.132,0.348,3.0,0.59,6.230149602388501
EC,124.0,125.0,0.034,0.046,0.322,2.0,1.12,13.339439119752662
EP,136.0,140.0,0.039,0.105,0.364,1.0,0.44,19.152673664553078
EC,143.0,157.0,0.098,0.03,0.315,5.0,2.54,29.9963520926998
EP,73.0,81.0,0.034,0.008,0.386,3.0,0.45,19.052126584520238
EP,130.0,127.0,0.031,0.001,0.357,1.0,0.86,5.206050134556683
BP,92.0,108.0,0.025,0.008,0.26,2.0,0.11,0.5450427595533749
EC,67.0,56.0,0.059,0.081,0.106,3.0,1.97,9.136889865333693
EP,52.0,47.0,0.063,0.002,0.333,3.0,1.97,3.247579577275726
BP,136.0,139.0,0.043,0.082,0.208,5.0,3.74,0.5439558048447408
EC,117.0,108.0,0.064,0.188,0.252,1.0,0.68,8.559180884159524
EP,130.0,149.0,0.019,0.033,0.177,3.0,1.66,24.433619509073594
EC,96.0,82.0,0.039,0.052,0.337,3.0,1.66,19.61296243187713
EC,97.0,94.0,0.088,0.07,0.145,2.0,1.6,5.466139675244662
EP,126.0,133.0,0.069,0.117,0.173,1.0,0.63,10.920852321205217
EC,102.0,118.0,0.083,0.019,0.116,4.0,2.84,2.2774099941594486
EP,105.0,85.0,0.088,0.123,0.221,4.0,0.64,7.822923782250783
EP,104.0,109.0,0.094,0.012,0.153,3.0,2.63,4.804021357552941
EP,70.0,86.0,0.088,0.046,0.138,1.0,0.05,12.60744027496326
EP,148.0,148.0,0.053,0.07,0.327,3.0,1.3,24.483584367266083
EC,139.0,127.0,0.034,0.075,0.359,5.0,2.84,24.677556957431378
EP,50.0,44.0,0.087,0.122,0.14,3.0,0.83,2.1979798291289523
EP,120.0,112.0,0.079,0.18,0.217,4.0,2.56,14.076062879120109
EP,136.0,146.0,0.065,0.16,0.109,5.0,3.02,29.62009879125003
EP,94.0,93.0,0.082,0.058,0.25,4.0,1.16,9.994579877871832
EP,109.0,101.0,0.072,0.099,0.383,1.0,0.26,10.307723186444385
EP,102.0,94.0,0.057,0.138,0.228,3.0,2.19,6.690076555853928
EC,76.0,75.0,0.022,0.069,0.362,5.0,1.0,12.844278199647597
EC,66.0,62.0,0.062,0.057,0.118,5.0,0.28,7.286151805353427
EC,102.0,98.0,0.04,0.119,0.257,3.0,0.45,7.719002710799252
BP,121.0,104.0,0.013,0.146,0.282,3.0,0.33,0.5639092803764549
EP,79.0,66.0,0.048,0.19,0.125,3.0,0.39,11.100462192138615
EP,142.0,131.0,0.014,0.025,0.347,1.0,0.63,6.942584588269703
EC,125.0,142.0,0.046,0.189,0.314,1.0,0.38,3.2082498069552727
EC,91.0,106.0,0.046,0.008,0.37,1.0,0.36,6.22878239739223
EC,102.0,118.0,0.073,0.023,0.162,1.0,0.9,0.005083012566880762
EP,150.0,138.0,0.035,0.185,0.321,2.0,1.57,10.253497168389856
EP,105.0,97.0,0.087,0.002,0.257,4.0,1.14,5.069815149422542
EC,115.0,101.0,0.083,0.123,0.355,3.0,0.01,19.503906804288537
EP,113.0,130.0,0.029,0.01,0.372,1.0,0.73,19.62027858389017
EP,150.0,132.0,0.019,0.066,0.286,1.0,0.76,2.213728095858361
EP,150.0,166.0,0.016,0.078,0.145,3.0,2.33,22.87642692763926
EC,55.0,71.0,0.015,0.095,0.266,4.0,0.52,1.8069789119452375
EC,62.0,63.0,0.026,0.059,0.235,2.0,0.12,5.352302848677912
EP,150.0,160.0,0.027,0.091,0.148,2.0,0.34,26.721925810617293
EC,105.0,101.0,0.045,0.026,0.279,4.0,3.56,10.110765539786755
EC,94.0,110.0,0.035,0.061,0.361,2.0,1.21,5.668523356196847
EC,90.0,71.0,0.042,0.007,0.378,1.0,0.43,22.563083715395074
EP,52.0,35.0,0.015,0.191,0.19,3.0,1.07,2.772713217383922
EP,98.0,84.0,0.048,0.159,0.113,3.0,2.87,0.00028182992736876245
EC,136.0,123.0,0.066,0.149,0.104,5.0,1.85,1.7933125347755698
EP,146.0,160.0,0.013,0.118,0.224,3.0,2.7,19.976356555648778
EC,69.0,84.0,0.032,0.097,0.281,3.0,1.8,2.1927126946989475
EC,117.0,128.0,0.087,0.174,0.139,4.0,3.73,0.21301732546392493
EC,147.0,134.0,0.024,0.174,0.247,3.0,1.17,7.163703645070658
EC,54.0,69.0,0.1,0.133,0.147,4.0,1.03,0.44066749720361864
EP,56.0,55.0,0.045,0.096,0.237,4.0,2.67,6.843462279141807
EP,118.0,112.0,0.086,0.06,0.26,2.0,1.32,6.0121152321322455
EP,142.0,141.0,0.032,0.102,0.182,4.0,2.71,16.94723566925515
EC,76.0,62.0,0.037,0.039,0.173,5.0,4.18,13.945381206175846
EC,109.0,104.0,0.035,0.188,0.218,1.0,0.41,4.715094920044585
EP,136.0,122.0,0.099,0.128,0.342,3.0,2.21,9.74791848280568
EC,75.0,56.0,0.064,0.157,0.225,3.0,0.31,8.10445544635941
EP,98.0,80.0,0.034,0.095,0.386,5.0,4.93,0.08828717679994647
EC,69.0,88.0,0.099,0.047,0.37,3.0,1.72,6.5531022957112235
EP,146.0,157.0,0.032,0.015,0.144,2.0,1.51,12.016030089273102
EC,141.0,122.0,0.05,0.06,0.258,4.0,2.13,25.10130295133328
EP,148.0,138.0,0.013,0.131,0.103,4.0,2.58,14.515514008927425
BP,90.0,71.0,0.096,0.175,0.316,2.0,1.48,0.15692375012124316
EC,105.0,113.0,0.096,0.033,0.165,1.0,0.14,5.342508348778637
EP,117.0,110.0,0.067,0.142,0.32,5.0,0.38,30.563322643424634
EC,79.0,97.0,0.015,0.191,0.397,1.0,0.11,2.6273923178481713
BP,126.0,143.0,0.085,0.037,0.238,1.0,0.52,0.6789782417627095
EC,72.0,54.0,0.074,0.035,0.148,2.0,1.4,18.855923738281014
BC,124.0,107.0,0.015,0.005,0.331,3.0,0.56,0.6967328674579479
EP,142.0,161.0,0.035,0.105,0.398,2.0,1.87,22.202189418196042
EC,64.0,50.0,0.099,0.033,0.224,5.0,3.74,17.834160582640195
EC,95.0,91.0,0.056,0.148,0.256,1.0,0.06,6.6363513310188935
EC,64.0,80.0,0.084,0.084,0.337,1.0,0.28,2.3822248990876194
EP,68.0,72.0,0.076,0.082,0.268,1.0,0.66,6.56084917077375
EC,68.0,53.0,0.098,0.113,0.264,3.0,0.26,13.358687475747285
EP,121.0,103.0,0.085,0.089,0.317,5.0,2.96,10.567770405581996
EP,54.0,46.0,0.093,0.111,0.18,5.0,3.17,1.9132025075948995
EP,99.0,87.0,0.013,0.125,0.35,4.0,2.82,13.024635718008426
EC,105.0,120.0,0.072,0.002,0.15,1.0,0.63,0.5904542378076947
EC,147.0,144.0,0.079,0.1,0.27,1.0,0.67,9.732890492367062
EP,100.0,104.0,0.035,0.198,0.251,2.0,0.86,22.804294231540148
EP,150.0,161.0,0.081,0.041,0.148,2.0,1.1,11.042287601637966
EC,79.0,84.0,0.046,0.126,0.108,5.0,3.56,0.37079917181797395
EP,89.0,71.0,0.061,0.06,0.215,5.0,1.63,4.404670814985202
EP,61.0,70.0,0.043,0.124,0.113,1.0,0.64,10.597644766351536
EP,74.0,73.0,0.036,0.02,0.101,5.0,2.82,2.649539636397563
EC,76.0,87.0,0.084,0.135,0.222,4.0,0.23,2.952093779137364
EC,50.0,63.0,0.051,0.172,0.288,3.0,0.14,1.126900771203073
EC,122.0,141.0,0.041,0.124,0.314,4.0,3.8,1.1256608245696604
EC,87.0,101.0,0.036,0.134,0.379,5.0,4.99,2.9878398004278515e-05
BP,58.0,68.0,0.036,0.093,0.266,4.0,1.52,0.6348889047955756
EP,76.0,82.0,0.052,0.088,0.143,4.0,0.45,14.710443908575442
EC,132.0,148.0,0.029,0.027,0.3,3.0,1.03,15.523863925074878
EC,50.0,65.0,0.063,0.153,0.307,5.0,0.25,1.7297493987163248
EP,111.0,108.0,0.026,0.165,0.368,4.0,2.59,25.884060433567235
EC,139.0,121.0,0.014,0.085,0.39,1.0,0.95,17.78998559955282
EC,126.0,119.0,0.021,0.188,0.152,5.0,4.76,4.6594103202820065
EC,68.0,76.0,0.079,0.196,0.368,2.0,1.52,2.625302898395253
EC,119.0,100.0,0.016,0.09,0.2,1.0,0.94,18.455450493293284
EP,56.0,39.0,0.067,0.191,0.22,3.0,0.65,3.5088154822183473
EP,62.0,77.0,0.023,0.074,0.196,5.0,0.76,26.164770537646383
BP,118.0,137.0,0.089,0.124,0.163,5.0,0.2,0.4965100607517753
EP,70.0,61.0,0.042,0.02,0.224,4.0,1.97,3.437549584350265
EP,64.0,67.0,0.096,0.024,0.39,2.0,0.37,9.675424807594222
EC,121.0,102.0,0.061,0.186,0.324,3.0,2.29,15.728593564506426
EC,54.0,35.0,0.031,0.165,0.134,1.0,0.72,16.86443785692638
EP,147.0,133.0,0.048,0.053,0.371,5.0,2.0,25.453787254788082
EP,144.0,131.0,0.09,0.109,0.211,3.0,0.25,12.404073466716653
EC,102.0,100.0,0.095,0.16,0.184,1.0,0.86,3.2880703516740795
EC,76.0,60.0,0.048,0.107,0.122,2.0,0.73,10.38831164071567
EC,120.0,105.0,0.036,0.141,0.328,4.0,3.77,14.523827681911811
EC,109.0,126.0,0.061,0.193,0.252,4.0,0.13,1.5085673425623751
EP,94.0,112.0,0.038,0.144,0.309,5.0,1.91,43.29195195009657
EP,53.0,60.0,0.078,0.129,0.132,4.0,2.31,10.403343528607223
EC,97.0,101.0,0.096,0.141,0.366,2.0,0.42,10.80615595063393
EC,98.0,91.0,0.026,0.01,0.342,4.0,1.4,25.245519730194637
EP,63.0,81.0,0.059,0.009,0.146,3.0,1.62,13.304546625600608
EC,148.0,146.0,0.097,0.086,0.151,4.0,1.29,14.01158028776478
EP,67.0,73.0,0.059,0.126,0.195,1.0,0.07,10.990085753845648
EP,139.0,141.0,0.039,0.041,0.314,3.0,1.91,18.575748800063536
EC,139.0,147.0,0.089,0.195,0.362,5.0,3.85,9.852683524045744
EP,58.0,53.0,0.017,0.041,0.294,5.0,4.01,4.639134061109157
EC,88.0,85.0,0.087,0.002,0.285,3.0,2.51,10.444032769139177
EC,135.0,142.0,0.093,0.179,0.144,4.0,2.1,1.516299073887808
EP,132.0,132.0,0.011,0.005,0.24,1.0,0.05,11.82769749775806
EP,136.0,122.0,0.093,0.02,0.138,4.0,1.7,1.0259547315643367
BC,123.0,127.0,0.011,0.172,0.109,2.0,0.14,0.015250077080013986
EP,109.0,100.0,0.051,0.002,0.33,5.0,2.65,11.296691806852479
EP,84.0,93.0,0.04,0.122,0.296,1.0,0.24,17.04865919713035
EP,133.0,115.0,0.05,0.176,0.18,2.0,0.47,11.895529234264195
BP,54.0,54.0,0.044,0.047,0.276,5.0,1.86,0.3578618581932128
EC,122.0,123.0,0.089,0.138,0.336,5.0,2.31,13.935729202811853
EC,129.0,115.0,0.1,0.051,0.165,5.0,0.34,32.24606965621245
EP,69.0,75.0,0.083,0.098,0.131,4.0,2.57,8.116327740364966
EP,148.0,153.0,0.042,0.194,0.223,3.0,2.98,5.73869944358708
BC,96.0,89.0,0.018,0.003,0.358,4.0,3.19,0.6581151617868238
EC,81.0,101.0,0.09,0.139,0.3,3.0,2.65,0.6427862490633274
EC,88.0,72.0,0.029,0.186,0.162,2.0,0.85,5.6095378206346
EP,105.0,125.0,0.039,0.18,0.394,2.0,0.7,41.05011427409315
EP,146.0,134.0,0.054,0.124,0.101,4.0,1.1,15.408108458868213
EC,119.0,107.0,0.067,0.167,0.397,3.0,2.59,14.751017063090991
EP,101.0,99.0,0.042,0.096,0.224,5.0,2.73,16.3794176600941
EC,103.0,110.0,0.054,0.069,0.337,4.0,2.63,11.448361078871386
EC,113.0,116.0,0.068,0.088,0.12,1.0,0.17,2.736021186727484
EP,86.0,84.0,0.066,0.169,0.366,4.0,0.04,27.754054209780634
EC,107.0,113.0,0.059,0.08,0.205,1.0,0.65,2.5302243083107143
EP,125.0,135.0,0.095,0.123,0.166,1.0,0.03,15.202598285645195
EP,118.0,110.0,0.064,0.175,0.306,5.0,2.98,23.292283349074097
EP,83.0,83.0,0.041,0.09,0.319,2.0,0.98,11.997197474191111
EC,133.0,151.0,0.065,0.05,0.182,5.0,0.42,13.836984078960313
EC,70.0,65.0,0.093,0.04,0.247,2.0,0.04,14.480140951741284
BP,84.0,86.0,0.027,0.114,0.198,1.0,0.21,0.654562427192724
EC,76.0,95.0,0.064,0.167,0.36,4.0,1.24,3.9667761288949546
EP,145.0,131.0,0.079,0.143,0.166,1.0,0.65,1.5479465584575145
BC,87.0,86.0,0.054,0.055,0.303,3.0,1.41,0.537736813148438
EP,130.0,130.0,0.099,0.074,0.261,2.0,0.76,11.760241513018897
EP,125.0,129.0,0.057,0.16,0.26,2.0,0.38,27.070593295480023
EC,61.0,57.0,0.014,0.18,0.166,5.0,0.38,0.12559555544253476
EP,121.0,123.0,0.096,0.148,0.31,5.0,1.47,27.23509311675624
EP,53.0,45.0,0.059,0.082,0.224,4.0,1.64,3.675455048238595
EP,63.0,48.0,0.087,0.067,0.26,2.0,1.01,0.8513608774241002
EC,132.0,149.0,0.063,0.104,0.241,3.0,2.71,1.4089626606749164
EP,50.0,51.0,0.078,0.092,0.26,1.0,0.94,1.861330218358713
EC,113.0,112.0,0.067,0.03,0.278,2.0,0.14,19.782028575799103
EP,70.0,79.0,0.013,0.162,0.206,3.0,1.72,21.453688269074533
EC,64.0,70.0,0.081,0.097,0.395,5.0,2.43,10.047249556838537
EC,123.0,141.0,0.074,0.094,0.191,3.0,1.38,4.008966899914533
EC,135.0,150.0,0.075,0.173,0.374,5.0,1.05,9.492878109805023
EC,149.0,166.0,0.079,0.158,0.299,2.0,1.32,5.479555050512964
EP,98.0,99.0,0.066,0.168,0.261,1.0,0.63,8.49757690266626
EC,107.0,100.0,0.051,0.113,0.335,3.0,1.71,13.47493100859478
EP,70.0,80.0,0.015,0.038,0.249,1.0,0.84,10.518127045309427
